Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
AliasName,DE,16,16,84.46.47.5,port-11990.pppoe.wtnet.de,9035,9040,0,0,1,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-02-08,WTNET-AS - DE,15943,131,None
AliasName,DE,0,9,79.215.237.181,p4FD7EDB5.dip0.t-ipconnect.de,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.4.27 on Linux,0,0,2016-03-20,DTAG Internet service provider operations- DE,3320,12,None
AliasName,DE,171,13,79.248.149.129,p4FF89581.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2015-04-01,DTAG Internet service provider operations- DE,3320,1150,None
alice,DE,3464,3,178.63.16.48,alice.hr3.wk3.org,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2010-08-06,HETZNER-AS Hetzner Online GmbH-DE,24940,32300,None
Alice,GB,1,249,185.73.44.58,tor-exit.webtorque.org,443,80,0,0,0,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2012-04-05,JUMP Jump Networks Ltd.-GB,8943,32,[2001:ba8:0:2c38::3a]:443
AliceSignedMyKey,IE,15,161,89.100.33.125,089-100-033125.ntlworld.ie,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-07-03,LGI-UPC Liberty Global Operations B.V.- AT,6830,142,None
Alick,RU,327,19,188.32.135.192,broadband-188-32-135-192.nationalcablenetworks.ru,15000,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.3-rc on Linux,0,0,2016-03-24,NCNET-AS PJSC Rostelecom-RU,42610,1010,None
aliensdetected,NL,0,141,84.83.196.210,ip5453c4d2.adsl-surfen.hetnet.nl,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-01-09,KPN KPN B.V.- NL,1136,31,None
alinoetorrelay,NL,6,15,62.194.172.167,h172167.upc-h.chello.nl,1361,None,0,0,1,0,0,0,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-03-14,LGI-UPC Liberty Global Operations B.V.- AT,6830,115,None
alive,RU,0,4,128.73.132.11,128-73-132-11.broadband.corbina.ru,5443,None,0,0,0,0,0,0,1,1,0,Tor 0.2.7.6 on Windows 7,0,0,2016-02-26,CORBINA-AS OJSC _Vimpelcom_- RU,8402,5,None
